species,cultivar,location,climatic_classification,climatic_data,year,dormancy_break_field,breaking_dormancy_40_baggiolini,begin_flowering_f5,flowering_f50,flowering_f90,end_flowering,ripening,bud_drop,flower_anomaly,spring_frost_damage,productivity,fruit_quality,rootstock,plantation_framework,training_system,irrigation_system,source,comment
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2015,,,,12-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2016,,,,25-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2017,,,,25-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2018,,,,14-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2019,,,,26-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2020,,,,22-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2021,,,,21-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2022,,,,4-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,1999,,,,9-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2000,,,,29-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2001,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2002,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2003,,,,12-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2004,,,,20-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2005,,,,21-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2006,,,,13-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2009,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Tadeo,Zaragoza/Spain,Arid Cold steppe ,Yes,2010,,,,15-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
